Order Date,Ship Date,Ship Mode,Customer Name,Segment,Country,City,State,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit,Sales_scaled,Profit_scaled,Quantity_bin,Quantity_cat
7/23/2016,7/28/2016,Standard Class,Chloris Kastensmidt,Consumer,United States,Mcallen,Texas,Central,OFF-PA-10004355,Office Supplies,Paper,Xerox 231,5.184,1.0,0.2,1.8144,0.0016907581873360073,0.37545994210862,0,Low
08-05-2014,08-11-2014,Standard Class,Sonia Sunley,Consumer,United States,San Francisco,California,West,OFF-ST-10000321,Office Supplies,Storage,Akro Stacking Bins,15.78,2.0,0.0,0.6312,0.00547035180611498,0.36471024328552665,0,Low
7/20/2014,7/24/2014,Standard Class,Katherine Murray,Home Office,United States,Dallas,Texas,Central,OFF-ST-10003306,Office Supplies,Storage,Letter Size Cart,342.864,3.0,0.2,38.5722,0.12214122753324799,0.7094147083353777,0,Low
5/24/2014,5/30/2014,Standard Class,Resi PÃ¶lking,Consumer,United States,Baltimore,Maryland,East,OFF-PA-10002319,Office Supplies,Paper,Xerox 1944,116.28,3.0,0.0,56.9772,0.0413187057781126,0.8766292171580894,0,Low
8/23/2016,8/30/2016,Standard Class,Maxwell Schwartz,Consumer,United States,Seattle,Washington,West,TEC-MA-10001972,Technology,Machines,Okidata C331dn Printer,837.6,3.0,0.2,62.82,0.29861357828638446,0.9297126690542774,0,Low
9/14/2014,9/18/2014,Second Class,Cynthia Arntzen,Consumer,United States,Tampa,Florida,South,FUR-FU-10004020,Furniture,Furnishings,Advantus Panel Wall Acrylic Frame,13.128,3.0,0.2,3.7743,0.00452438330130167,0.3932661749715177,0,Low
12-10-2014,12/15/2014,Standard Class,Sally Matthias,Consumer,United States,New York City,New York,East,OFF-PA-10004470,Office Supplies,Paper,"Adams Write n' Stick Phone Message Book, 11"" X 5 1/4"", 200 Messages",11.36,2.0,0.0,5.2256,0.0038937376314261297,0.4064516363491,0,Low
4/24/2017,4/27/2017,First Class,Damala Kotsonis,Corporate,United States,Philadelphia,Pennsylvania,East,OFF-BI-10002813,Office Supplies,Binders,Avery Reinforcements for Hole-Punch Pages,1.188,2.0,0.7,-0.99,0.00026538482940463906,0.34998119347822537,0,Low
11/26/2014,12-01-2014,Standard Class,Luke Schmidt,Corporate,United States,Fresno,California,West,OFF-AP-10000692,Office Supplies,Appliances,Fellowes Mighty 8 Compact Surge Protector,40.54,2.0,0.0,11.3512,0.014302244784688722,0.46210440436020583,0,Low
12-01-2016,12-03-2016,Second Class,John Murray,Consumer,United States,San Angelo,Texas,Central,OFF-AP-10004859,Office Supplies,Appliances,Acco 6 Outlet Guardian Premium Surge Suppressor,11.648,4.0,0.8,-30.8672,0.00399646724280857,0.07853857880841153,0,Low
08-12-2014,8/13/2014,First Class,Lauren Leatherbury,Consumer,United States,Woodstock,Georgia,South,OFF-BI-10000138,Office Supplies,Binders,Acco Translucent Poly Ring Binders,14.04,3.0,0.0,6.7392,0.004849693737346066,0.4202031104351666,0,Low
5/22/2014,5/29/2014,Standard Class,Evan Henry,Consumer,United States,Decatur,Alabama,South,TEC-PH-10002660,Technology,Phones,Nortel Networks T7316 E Nt8 B27,135.98,2.0,0.0,33.995,0.04834569655670318,0.6678295820227823,0,Low
05-05-2016,05-09-2016,Standard Class,Rick Bensley,Home Office,United States,Tallahassee,Florida,South,OFF-PA-10001001,Office Supplies,Paper,"Snap-A-Way Black Print Carbonless Speed Message, No Reply Area, Duplicate",93.248,4.0,0.2,31.4712,0.033103190467833506,0.6449001618996223,0,Low
02-11-2014,2/15/2014,Second Class,Guy Armstrong,Consumer,United States,Columbia,Missouri,Central,OFF-BI-10004728,Office Supplies,Binders,Wilson Jones Turn Tabs Binder Tool for Ring Binders,9.64,2.0,0.0,4.4344,0.0032802135634476632,0.3992633658041106,0,Low
8/28/2017,09-01-2017,Standard Class,Sean Christensen,Consumer,United States,Chicago,Illinois,Central,OFF-PA-10002479,Office Supplies,Paper,Xerox 4200 Series MultiUse Premium Copy Paper (20Lb. and 84 Bright),25.344,6.0,0.2,7.92,0.008881830984106874,0.4309310045953328,1,Medium
1/26/2014,1/31/2014,Standard Class,Shirley Daniels,Home Office,United States,Alexandria,Virginia,South,TEC-PH-10004833,Technology,Phones,Macally Suction Cup Mount,155.35,13.0,0.0,0.0,0.055254976322251376,0.35897561693568175,2,High
9/28/2017,10-01-2017,First Class,Darrin Sayre,Home Office,United States,Aurora,Colorado,West,OFF-ST-10001522,Office Supplies,Storage,"Gould Plastics 18-Pocket Panel Bin, 34w x 5-1/4d x 20-1/2h",147.184,2.0,0.2,-29.4368,0.05234216379951175,0.09153415791300307,0,Low
5/17/2016,5/20/2016,First Class,Luke Weiss,Consumer,United States,Chicago,Illinois,Central,OFF-PA-10000791,Office Supplies,Paper,"Wirebound Message Books, Four 2 3/4 x 5 Forms per Page, 200 Sets per Book",30.528,8.0,0.2,9.54,0.010730963988990809,0.4456491520711705,1,Medium
12-05-2017,12-11-2017,Standard Class,Suzanne McNair,Corporate,United States,New York City,New York,East,FUR-FU-10001487,Furniture,Furnishings,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",20.94,3.0,0.0,6.0726,0.0073109240100503806,0.414146865307146,0,Low
04-09-2016,4/14/2016,Second Class,Sean Wendt,Home Office,United States,Detroit,Michigan,Central,OFF-BI-10000831,Office Supplies,Binders,Storex Flexible Poly Binders with Double Pockets,5.28,2.0,0.0,2.4288,0.0017250013911301544,0.38104193581797474,0,Low
10/14/2016,10/20/2016,Standard Class,Nathan Cano,Consumer,United States,Jacksonville,North Carolina,South,OFF-EN-10001335,Office Supplies,Envelopes,"White Business Envelopes with Contemporary Seam, Recycled White Business Envelopes",35.008,4.0,0.2,13.128,0.012328980166051004,0.4782471231472851,0,Low
09-11-2016,9/13/2016,First Class,Linda Cazamias,Corporate,United States,Phoenix,Arizona,West,OFF-PA-10001667,Office Supplies,Paper,Great White Multi-Use Recycled Paper (20Lb. and 84 Bright),9.568,2.0,0.2,2.99,0.0032545311606020527,0.38614059283244395,0,Low
11/21/2016,11/26/2016,Standard Class,Chloris Kastensmidt,Consumer,United States,Columbus,Ohio,East,FUR-FU-10001876,Furniture,Furnishings,"Computer Room Manger, 14""",77.952,3.0,0.2,15.5904,0.027647106663299417,0.5006187073105585,0,Low
03-08-2016,03-12-2016,Standard Class,Giulietta Baptist,Consumer,United States,New York City,New York,East,OFF-BI-10000632,Office Supplies,Binders,Satellite Sectional Post Binders,69.456,2.0,0.2,22.5732,0.02461658312751741,0.5640593740971507,0,Low
10-11-2016,10/15/2016,Standard Class,Emily Phan,Consumer,United States,Chicago,Illinois,Central,OFF-AR-10001446,Office Supplies,Art,Newell 309,27.72,3.0,0.2,3.465,0.00972935027801201,0.3904560990367791,0,Low
10/15/2014,10/17/2014,First Class,Anna Chung,Consumer,United States,Parma,Ohio,East,OFF-PA-10002230,Office Supplies,Paper,Xerox 1897,7.968,2.0,0.2,2.8884,0.0026838110973662695,0.3852175287685272,0,Low
9/21/2014,9/24/2014,First Class,Matt Abelman,Home Office,United States,Philadelphia,Pennsylvania,East,OFF-PA-10004000,Office Supplies,Paper,"While You Were Out Pads, 50 per Pad, 4 x 5 1/4, Green Cycle",11.352,3.0,0.2,4.1151,0.0038908840311099513,0.39636243710717545,0,Low
3/20/2016,3/24/2016,Standard Class,Zuschuss Carroll,Consumer,United States,Salem,Oregon,West,OFF-BI-10002498,Office Supplies,Binders,Clear Mylar Reinforcing Strips,16.821,3.0,0.7,-12.8961,0.005841676547257762,0.24181098627941588,0,Low
10-06-2017,10-06-2017,Same Day,Mark Hamilton,Consumer,United States,Chicago,Illinois,Central,OFF-ST-10003208,Office Supplies,Storage,Adjustable Depth Letter/Legal Cart,290.336,2.0,0.2,32.6628,0.10340448785721726,0.6557261770429608,0,Low
1/24/2017,1/29/2017,Standard Class,Keith Dawkins,Corporate,United States,San Jose,California,West,TEC-PH-10000193,Technology,Phones,Jensen SMPS-640 -Â speaker phone,110.352,3.0,0.2,8.2764,0.03920418794382403,0.4341689970400171,0,Low
09-08-2017,09-09-2017,First Class,Frank Carlisle,Home Office,United States,Hialeah,Florida,South,TEC-PH-10001750,Technology,Phones,Samsung Rugby III,158.376,3.0,0.2,13.8579,0.056334350641846054,0.48487846626000974,0,Low
09-09-2017,9/14/2017,Standard Class,Sean O'Donnell,Consumer,United States,Columbia,Tennessee,South,OFF-ST-10000046,Office Supplies,Storage,Fellowes Super Stor/Drawer Files,258.48,2.0,0.2,-3.231,0.09204145139819282,0.3296210894699832,0,Low
3/31/2014,3/31/2014,Same Day,Trudy Glocke,Consumer,United States,Tampa,Florida,South,OFF-AR-10004027,Office Supplies,Art,"Binney & Smith inkTank Erasable Desk Highlighter, Chisel Tip, Yellow, 12/Box",4.032,2.0,0.2,1.0584,0.0012798397418062434,0.3685914732865624,0,Low
9/26/2015,10-02-2015,Standard Class,Tracy Blumstein,Consumer,United States,Portland,Oregon,West,OFF-PA-10000474,Office Supplies,Paper,Easy-staple paper,141.76,5.0,0.2,47.844,0.050407422785142444,0.7936515723887554,0,Low
11-07-2015,11-12-2015,Standard Class,Adrian Barton,Consumer,United States,Houston,Texas,Central,OFF-ST-10001713,Office Supplies,Storage,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",84.784,2.0,0.2,-16.9568,0.030084081333316214,0.20491840513427134,0,Low
12/18/2016,12/20/2016,First Class,Andy Yotov,Corporate,United States,San Francisco,California,West,TEC-PH-10001552,Technology,Phones,I Need's 3d Hello Kitty Hybrid Silicone Case Cover for HTC One X 4g with 3d Hello Kitty Stylus Pen Green/pink,66.976,7.0,0.2,6.6976,0.023731967029501946,0.41982516294442906,1,Medium
11/24/2016,11/26/2016,First Class,Nat Carroll,Consumer,United States,New York City,New York,East,TEC-AC-10002323,Technology,Accessories,SanDisk Ultra 32 GB MicroSDHC Class 10 Memory Card,88.4,4.0,0.0,11.492,0.031373908676229086,0.46338361125193295,0,Low
10-02-2016,10-09-2016,Standard Class,Tamara Chand,Corporate,United States,Lafayette,Indiana,Central,OFF-AR-10001958,Office Supplies,Art,Stanley Bostitch Contemporary Electric Pencil Sharpeners,33.96,2.0,0.0,9.5088,0.011955158524631564,0.44536569145311733,0,Low
11-04-2017,11-04-2017,Same Day,Frank Merwin,Home Office,United States,Bryan,Texas,Central,OFF-BI-10001308,Office Supplies,Binders,GBC Standard Plastic Binding Systems' Combs,7.536,6.0,0.8,-13.188,0.0025297166802926083,0.2391589941508992,1,Medium
08-05-2014,08-11-2014,Standard Class,Sonia Sunley,Consumer,United States,San Francisco,California,West,TEC-AC-10004510,Technology,Accessories,Logitech Desktop MK120 Mouse and keyboard Combo,16.36,1.0,0.0,1.636,0.005677237829037951,0.37383912883103393,0,Low
12-11-2017,12/13/2017,First Class,Dennis Kane,Consumer,United States,Abilene,Texas,Central,OFF-AP-10001634,Office Supplies,Appliances,Hoover Commercial Lightweight Upright Vacuum,1.392,2.0,0.8,-3.7584,0.0003381516374672014,0.32482951479173827,0,Low
12-06-2015,12-10-2015,Standard Class,Speros Goranitis,Consumer,United States,New York City,New York,East,OFF-PA-10004255,Office Supplies,Paper,Xerox 219,6.48,1.0,0.0,3.1104,0.0021530414385569916,0.38723446008929013,0,Low
08-05-2017,08-08-2017,First Class,Nick Zandusky,Home Office,United States,Houston,Texas,Central,OFF-ST-10001172,Office Supplies,Storage,"Tennsco Lockers, Sand",151.056,9.0,0.2,7.5528,0.05372330635254235,0.42759489116747623,1,Medium
8/13/2016,8/17/2016,Second Class,Erin Mull,Consumer,United States,Jacksonville,North Carolina,South,OFF-BI-10000138,Office Supplies,Binders,Acco Translucent Poly Ring Binders,11.232,8.0,0.7,-8.2368,0.003848080026367267,0.28414201376964465,1,Medium
12-01-2014,12-03-2014,First Class,Anna Andreadi,Consumer,United States,Lowell,Massachusetts,East,FUR-FU-10003878,Furniture,Furnishings,"Linden 10"" Round Wall Clock, Black",45.84,3.0,0.0,15.5856,0.016192754994157253,0.5005750979847041,0,Low
05-07-2017,05-11-2017,Standard Class,Carlos Soltero,Consumer,United States,Pasadena,California,West,TEC-PH-10003437,Technology,Phones,Blue Parrot B250XT Professional Grade Wireless BluetoothÂ HeadsetÂ with,419.944,7.0,0.2,52.493,0.14963566657963187,0.8358890215339219,1,Medium
10-01-2015,10-04-2015,Second Class,Robert Marley,Home Office,United States,Cambridge,Massachusetts,East,OFF-BI-10000829,Office Supplies,Binders,Avery Non-Stick Binders,22.45,5.0,0.0,10.327,0.007849541069729151,0.45279926445603735,0,Low
1/17/2015,1/23/2015,Standard Class,Amy Hunt,Consumer,United States,Bartlett,Tennessee,South,OFF-SU-10000898,Office Supplies,Supplies,"Acme Hot Forged Carbon Steel Scissors with Nickel-Plated Handles, 3 7/8"" Cut, 8""L",88.96,8.0,0.2,10.008,0.03157366069836161,0.44990106134196806,1,Medium
8/15/2015,8/19/2015,Standard Class,Richard Eichhorn,Consumer,United States,Oakland,California,West,FUR-FU-10004018,Furniture,Furnishings,Tensor Computer Mounted Lamp,104.23,7.0,0.0,28.1421,0.037020470301868114,0.6146543688367758,1,Medium
06-12-2017,6/19/2017,Standard Class,Maria Etezadi,Home Office,United States,Columbus,Georgia,South,OFF-BI-10000977,Office Supplies,Binders,Ibico Plastic Spiral Binding Combs,91.2,3.0,0.0,41.952,0.032372668786891705,0.7401211249025605,0,Low
11/14/2014,11/18/2014,Standard Class,Jeremy Lonsdale,Consumer,United States,Midland,Michigan,Central,OFF-BI-10000756,Office Supplies,Binders,Storex DuraTech Recycled Plastic Frosted Binders,12.72,3.0,0.0,6.36,0.0043788496851765455,0.41675797369267426,0,Low
7/27/2017,7/31/2017,Standard Class,Tony Molinari,Consumer,United States,Yonkers,New York,East,FUR-FU-10004018,Furniture,Furnishings,Tensor Computer Mounted Lamp,14.89,1.0,0.0,4.0203,0.005152888770940076,0.3955011529215523,0,Low
10-09-2015,10-12-2015,Second Class,Brian Moss,Corporate,United States,Ann Arbor,Michigan,Central,OFF-EN-10003286,Office Supplies,Envelopes,Staple envelope,57.96,7.0,0.0,27.2412,0.020515959473168307,0.6064694434904905,1,Medium
11/19/2016,11/24/2016,Standard Class,Doug Jacobs,Consumer,United States,New York City,New York,East,OFF-BI-10003305,Office Supplies,Binders,Avery Hanging File Binders,14.352,3.0,0.2,4.6644,0.004960984149677044,0.40135297933463077,0,Low
11-05-2016,11-10-2016,Standard Class,Michelle Arnett,Home Office,United States,Lawrence,Indiana,Central,OFF-LA-10000414,Office Supplies,Labels,Avery 503,51.75,5.0,0.0,24.84,0.018300852227734424,0.58465387823186,0,Low
06-02-2016,06-05-2016,First Class,Karen Carlisle,Corporate,United States,Philadelphia,Pennsylvania,East,OFF-ST-10000736,Office Supplies,Storage,Carina Double Wide Media Storage Towers in Natural & Black,64.784,1.0,0.2,-12.9568,0.022950080542868925,0.24125951001288298,0,Low
10-01-2016,10-06-2016,Second Class,Jamie Kunitz,Consumer,United States,Hialeah,Florida,South,OFF-BI-10004140,Office Supplies,Binders,Avery Non-Stick Binders,5.388,4.0,0.7,-4.49,0.0017635249953985696,0.3181827267094402,0,Low
7/30/2016,08-04-2016,Standard Class,Katherine Hughes,Consumer,United States,Chicago,Illinois,Central,OFF-ST-10001780,Office Supplies,Storage,Tennsco 16-Compartment Lockers with Coat Rack,1036.624,2.0,0.2,51.8312,0.36960544695228353,0.8298763857317555,0,Low
11/23/2014,11/27/2014,Standard Class,Saphhira Shifley,Corporate,United States,Mesquite,Texas,Central,FUR-FU-10001940,Furniture,Furnishings,Staple-based wall hangings,6.368,2.0,0.6,-2.5472,0.0021130910341304867,0.3358336013489819,0,Low
12/19/2015,12/21/2015,Second Class,Suzanne McNair,Corporate,United States,Omaha,Nebraska,Central,OFF-PA-10001289,Office Supplies,Paper,White Computer Printout Paper by Universal,116.28,3.0,0.0,56.9772,0.0413187057781126,0.8766292171580894,0,Low
2/18/2014,2/24/2014,Standard Class,Aaron Bergman,Consumer,United States,Arlington,Texas,Central,OFF-ST-10000321,Office Supplies,Storage,Akro Stacking Bins,12.624,2.0,0.2,-2.5248,0.004344606481382398,0.3360371115363021,0,Low
11-06-2017,11-09-2017,Second Class,Jill Fjeld,Consumer,United States,Fayetteville,North Carolina,South,OFF-PA-10001800,Office Supplies,Paper,Xerox 220,31.104,6.0,0.2,10.8864,0.010936423211755692,0.45788156797331114,1,Medium
4/16/2017,4/20/2017,Standard Class,Roy FranzÃ¶sisch,Consumer,United States,Columbus,Ohio,East,OFF-BI-10001553,Office Supplies,Binders,SpineVue Locking Slant-D Ring Binders by Cardinal,13.71,5.0,0.7,-10.054,0.0047319827243036865,0.2676322498232914,0,Low
03-08-2016,03-12-2016,Standard Class,Giulietta Baptist,Consumer,United States,New York City,New York,East,FUR-FU-10003347,Furniture,Furnishings,Coloredge Poster Frame,113.6,8.0,0.0,44.304,0.040362749672192666,0.7614896945711842,1,Medium
12/26/2015,01-02-2016,Standard Class,Brian Dahlen,Consumer,United States,Lawrence,Massachusetts,East,OFF-FA-10002815,Office Supplies,Fasteners,Staples,22.2,5.0,0.0,10.434,0.00776036605984856,0.4537713890115402,0,Low
12-12-2015,12/15/2015,First Class,Dennis Kane,Consumer,United States,San Diego,California,West,OFF-BI-10002437,Office Supplies,Binders,Recycled Premium Regency Composition Covers,24.448,2.0,0.2,8.8624,0.008562227748694836,0.43949296890473366,0,Low
09-10-2016,9/14/2016,Second Class,Kean Thornton,Consumer,United States,Houston,Texas,Central,TEC-PH-10000895,Technology,Phones,Polycom VVX 310 VoIP phone,719.96,5.0,0.2,53.997,0.25665138563697354,0.8495532769682798,0,Low
06-08-2014,6/13/2014,Standard Class,Rick Duston,Consumer,United States,Long Beach,New York,East,OFF-BI-10003876,Office Supplies,Binders,"Green Canvas Binder for 8-1/2"" x 14"" Sheets",68.48,2.0,0.2,25.68,0.024268443888943583,0.5922855102563684,0,Low
7/14/2017,7/18/2017,Standard Class,Toby Carlisle,Consumer,United States,Westminster,California,West,OFF-BI-10004022,Office Supplies,Binders,Acco Suede Grain Vinyl Round Ring Binder,4.448,2.0,0.2,1.4456,0.0014282269582475472,0.372109292238812,0,Low
03-08-2015,03-12-2015,Standard Class,Frank Olsen,Consumer,United States,Chicago,Illinois,Central,OFF-BI-10002706,Office Supplies,Binders,Avery Premier Heavy-Duty Binder with Round Locking Rings,8.568,3.0,0.8,-14.5656,0.002897831121079688,0.22664311763070538,0,Low
9/26/2014,9/30/2014,Standard Class,Dianna Arnett,Home Office,United States,Lancaster,Ohio,East,OFF-AP-10001634,Office Supplies,Appliances,Hoover Commercial Lightweight Upright Vacuum,16.704,6.0,0.2,1.2528,0.005799942642633645,0.3703576509836629,1,Medium
5/19/2017,5/25/2017,Standard Class,Jason Fortune-,Consumer,United States,Plano,Texas,Central,OFF-LA-10004178,Office Supplies,Labels,Avery 491,13.216,4.0,0.2,4.2952,0.004555772904779638,0.3979986953543349,0,Low
12-10-2017,12-12-2017,Second Class,Alex Grayson,Consumer,United States,Stockton,California,West,TEC-PH-10003215,Technology,Phones,Jackery Bar Premium Fast-charging Portable Charger,95.84,4.0,0.2,34.742,0.03402775697027548,0.674616283358863,0,Low
11/20/2016,11/24/2016,Second Class,Nick Zandusky,Home Office,United States,Columbus,Ohio,East,TEC-AC-10002001,Technology,Accessories,Logitech Wireless Gaming Headset G930,255.984,2.0,0.2,54.3966,0.091151128099545,0.853183753345653,0,Low
